date,Gold Price(24 Karat),Gold Price(22 Karat),Gold Price(18 Karat),Gold Price(14 Karat),Gold Price(10 Karat)
08-02-2021,4292,3935,3219,2504,1788
10-02-2021,4312,3953,3234,2515,1797
12-02-2021,4259,3904,3194,2484,1774
16-02-2021,4194,3845,3146,2447,1748
18-02-2021,4140,3795,3105,2415,1725
22-02-2021,4218,3866,3163,2460,1757
24-02-2021,4197,3847,3148,2448,1749
26-02-2021,4105,3763,3079,2394,1710
02-03-2021,4092,3751,3069,2387,1705
04-03-2021,3984,3652,2988,2324,1660
08-03-2021,3972,3641,2979,2317,1655
10-03-2021,4036,3700,3027,2355,1682
12-03-2021,4036,3700,3027,2354,1682
16-03-2021,4037,3700,3028,2355,1682
18-03-2021,4055,3717,3041,2366,1690
22-03-2021,4048,3711,3036,2361,1687
24-03-2021,4051,3714,3039,2363,1688
26-03-2021,4036,3699,3027,2354,1682
30-03-2021,3980,3648,2985,2322,1658
02-04-2021,4083,3742,3062,2382,1701
06-04-2021,4119,3776,3089,2403,1716
08-04-2021,4205,3854,3153,2453,1752
12-04-2021,4176,3828,3132,2436,1740
14-04-2021,4189,3840,3142,2444,1745
16-04-2021,4261,3906,3195,2485,1775
20-04-2021,4310,3951,3232,2514,1796
22-04-2021,4305,3946,3229,2511,1794
26-04-2021,4282,3925,3212,2498,1784
28-04-2021,4262,3907,3197,2486,1776
30-04-2021,4214,3863,3160,2458,1756
04-05-2021,4219,3867,3164,2461,1758
06-05-2021,4295,3937,3222,2506,1790
10-05-2021,4338,3977,3254,2531,1808
12-05-2021,4306,3947,3229,2512,1794
14-05-2021,4344,3982,3258,2534,1810
18-05-2021,4397,4031,3298,2565,1832
20-05-2021,4400,4033,3300,2567,1833
24-05-2021,4397,4030,3298,2565,1832
26-05-2021,4430,4061,3322,2584,1846
28-05-2021,4432,4063,3324,2585,1847
02-06-2021,4475,4102,3357,2611,1865
04-06-2021,4433,4064,3325,2586,1847
08-06-2021,4443,4072,3332,2591,1851
10-06-2021,4456,4085,3342,2600,1857
14-06-2021,4392,4026,3294,2562,1830
16-06-2021,4317,3957,3238,2518,1799
18-06-2021,4206,3856,3155,2454,1753
22-06-2021,4249,3895,3187,2479,1771
24-06-2021,4235,3882,3176,2470,1764
28-06-2021,4247,3893,3185,2477,1770
30-06-2021,4228,3876,3171,2466,1762
02-07-2021,4280,3924,3210,2497,1784
06-07-2021,4315,3956,3237,2517,1798
08-07-2021,4333,3972,3250,2528,1806
12-07-2021,4331,3970,3248,2527,1805
14-07-2021,4373,4009,3280,2551,1822
16-07-2021,4349,3986,3262,2537,1812
20-07-2021,4336,3975,3252,2530,1807
22-07-2021,4326,3966,3245,2524,1803
26-07-2021,4294,3936,3220,2505,1789
28-07-2021,4328,3967,3246,2525,1803
30-07-2021,4337,3976,3253,2530,1807
03-08-2021,4322,3961,3241,2521,1801
05-08-2021,4295,3937,3221,2506,1790
09-08-2021,4146,3800,3109,2418,1727
11-08-2021,4175,3827,3131,2435,1740
13-08-2021,4246,3892,3184,2477,1769
17-08-2021,4271,3915,3203,2491,1779
19-08-2021,4257,3902,3193,2483,1774
23-08-2021,4300,3942,3225,2508,1792
25-08-2021,4269,3913,3201,2490,1779
27-08-2021,4296,3938,3222,2506,1790
31-08-2021,4259,3904,3194,2484,1774
02-09-2021,4250,3896,3188,2479,1771
06-09-2021,4287,3929,3215,2501,1786
08-09-2021,4250,3896,3187,2479,1771
10-09-2021,4226,3874,3170,2465,1761
14-09-2021,4271,3915,3203,2491,1780
16-09-2021,4148,3803,3111,2420,1728
20-09-2021,4180,3832,3135,2438,1742
22-09-2021,4197,3847,3148,2448,1749
24-09-2021,4153,3806,3114,2422,1730
28-09-2021,4138,3793,3103,2414,1724
30-09-2021,4185,3837,3139,2441,1744
04-10-2021,4239,3886,3179,2473,1766
06-10-2021,4240,3887,3180,2474,1767
08-10-2021,4254,3899,3190,2481,1772
12-10-2021,4272,3916,3204,2492,1780
14-10-2021,4328,3967,3246,2525,1803
18-10-2021,4267,3911,3200,2489,1778
20-10-2021,4285,3928,3214,2500,1786
22-10-2021,4322,3962,3241,2521,1801
26-10-2021,4319,3959,3239,2519,1799
28-10-2021,4328,3967,3246,2525,1803
02-11-2021,4293,3935,3220,2504,1789
04-11-2021,4290,3932,3217,2502,1787
08-11-2021,4336,3975,3252,2529,1807
10-11-2021,4423,4054,3317,2580,1843
12-11-2021,4457,4086,3343,2600,1857
16-11-2021,4430,4060,3322,2584,1846
18-11-2021,4434,4065,3326,2587,1848
22-11-2021,4329,3968,3247,2525,1804
24-11-2021,4294,3936,3220,2505,1789
26-11-2021,4326,3965,3244,2523,1802
30-11-2021,4279,3923,3209,2496,1783
02-12-2021,4265,3909,3199,2488,1777
06-12-2021,4317,3957,3238,2518,1799
08-12-2021,4323,3963,3242,2522,1801
10-12-2021,4345,3983,3259,2535,1810
14-12-2021,4334,3973,3250,2528,1806
16-12-2021,4405,4038,3304,2570,1835
20-12-2021,4363,4000,3272,2545,1818
22-12-2021,4376,4012,3282,2553,1823
24-12-2021,4367,4003,3275,2548,1820
28-12-2021,4341,3979,3256,2532,1809
30-12-2021,4345,3983,3259,2535,1811
02-01-2020,3507,3215,2631,2046,1461
06-01-2020,3610,3309,2707,2106,1504
08-01-2020,3579,3280,2684,2088,1491
10-01-2020,3565,3268,2674,2080,1486
14-01-2020,3530,3236,2648,2059,1471
16-01-2020,3541,3246,2656,2066,1475
20-01-2020,3566,3269,2674,2080,1486
22-01-2020,3570,3272,2677,2082,1487
24-01-2020,3604,3304,2703,2102,1502
28-01-2020,3593,3293,2695,2096,1497
30-01-2020,3625,3323,2718,2114,1510
04-02-2020,3553,3257,2665,2073,1480
06-02-2020,3590,3291,2692,2094,1496
10-02-2020,3604,3303,2703,2102,1502
12-02-2020,3599,3299,2699,2099,1499
14-02-2020,3642,3339,2732,2125,1518
18-02-2020,3685,3378,2763,2149,1535
20-02-2020,3748,3436,2811,2187,1562
24-02-2020,3831,3512,2873,2235,1596
26-02-2020,3788,3472,2841,2209,1578
28-02-2020,3681,3375,2761,2147,1534
03-03-2020,3885,3561,2914,2266,1619
05-03-2020,3976,3645,2982,2320,1657
09-03-2020,3988,3656,2991,2327,1662
11-03-2020,3919,3593,2939,2286,1633
13-03-2020,3636,3333,2727,2121,1515
17-03-2020,3660,3355,2745,2135,1525
19-03-2020,3556,3259,2667,2074,1482
23-03-2020,3858,3536,2893,2250,1607
25-03-2020,3929,3601,2947,2292,1637
27-03-2020,3908,3583,2931,2280,1628
31-03-2020,3824,3506,2868,2231,1593
02-04-2020,3951,3622,2963,2305,1646
06-04-2020,4063,3725,3047,2370,1693
08-04-2020,4024,3689,3018,2347,1677
10-04-2020,4136,3791,3102,2413,1723
14-04-2020,4216,3864,3162,2459,1757
16-04-2020,4239,3886,3179,2473,1766
20-04-2020,4164,3817,3123,2429,1735
22-04-2020,4205,3855,3154,2453,1752
24-04-2020,4243,3889,3182,2475,1768
28-04-2020,4170,3822,3127,2432,1737
30-04-2020,4093,3752,3070,2388,1705
04-05-2020,4144,3798,3108,2417,1727
06-05-2020,4142,3797,3106,2416,1726
08-05-2020,4131,3786,3098,2410,1721
